IE_NAME;IE_ACTIVE;IE_ACTIVE_FROM;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
"&laquo;Интерьеры Махараджей&raquo; на выставке предметов класса люкс";Y;2014-03-23 00:00:00;" — 
С 18 по 21 марта галерея «Интерьеры Махараджей» приняла участие в выставке LuxuryHITS, проходившей в международном выставочном центре «Крокус Экспо» в Москве.
<br>
<br>
«Luxury & High Interior Trade Show – это выставка высокого интерьера и предметов класса люкс, которая расширяет понятие «роскоши» и позиционирует его не только как противоположность бедности, но и пошлости, вульгарности. Главное — это не материал, а роскошная идея, заложенная внутри», — утверждают организаторы.
<br>
<br>
Данная ежегодная выставка является одним из важнейших событий для любителей дизайна и декора, помогающая увидеть главные тенденции в области оформления.
<br>
<br>
Галерея представила антикварную мебель из Индии и Таиланда, так же старинные японские кимоно, отразив этнические и экзотические направления современного дизайна.
<br>
<br>
В ходе выставки проходила насыщенная культурная программа со множеством мастер-классов, круглых столов и конференций. Среди них мастер-класс по икебане провела друг галереи Чинара Мундузбаева — мастер икебана I степени Somu японской школы Согэцу (Sogetsu), член международной ассоциации преподавателей школы Согэцу (Токио), участница международных выставок (Япония, Германия, Иордания, Кипр, Нидерланды, Франция).
<br>
<br>
Также посетители смогли услышать лекцию профессора Александры Барковой об использовании кимоно как предмета для декорирования пространства, узнали типичные приемы и ошибки при попытке создания «японского» интерьера.";html;"
С 18 по 21 марта галерея «Интерьеры Махараджей» приняла участие в выставке LuxuryHITS, проходившей в международном выставочном центре «Крокус Экспо» в Москве.
<br>
<br>
«Luxury & High Interior Trade Show – это выставка высокого интерьера и предметов класса люкс, которая расширяет понятие «роскоши» и позиционирует его не только как противоположность бедности, но и пошлости, вульгарности. Главное — это не материал, а роскошная идея, заложенная внутри», — утверждают организаторы.
<br>
<br>
Данная ежегодная выставка является одним из важнейших событий для любителей дизайна и декора, помогающая увидеть главные тенденции в области оформления.
<br>
<br>
Галерея представила антикварную мебель из Индии и Таиланда, так же старинные японские кимоно, отразив этнические и экзотические направления современного дизайна.
<br>
<br>
В ходе выставки проходила насыщенная культурная программа со множеством мастер-классов, круглых столов и конференций. Среди них мастер-класс по икебане провела друг галереи Чинара Мундузбаева — мастер икебана I степени Somu японской школы Согэцу (Sogetsu), член международной ассоциации преподавателей школы Согэцу (Токио), участница международных выставок (Япония, Германия, Иордания, Кипр, Нидерланды, Франция).
<br>
<br>
Также посетители смогли услышать лекцию профессора Александры Барковой об использовании кимоно как предмета для декорирования пространства, узнали типичные приемы и ошибки при попытке создания «японского» интерьера.";html;n_101;imgs/file265.jpg;imgs/file265.jpg
"Изменение режима работы";Y;2014-03-11 23:11:54;" — 
Уважаемые посетители галереи, обращаем Ваше внимание, что изменён режим работы <a href=""/kontakty/#kuzneckiy"">салона на Кузнецком мосту</a>. Теперь мы работаем до 21:00. Остальные салоны работают по прежнему графику.";html;"
Уважаемые посетители галереи, обращаем Ваше внимание, что изменён режим работы <a href=""/kontakty/#kuzneckiy"">салона на Кузнецком мосту</a>. Теперь мы работаем до 21:00. Остальные салоны работают по прежнему графику.";html;n_99;imgs/file264.jpg;imgs/file262.jpg
"Внимание, акция!";Y;2014-02-07 23:11:54;" — 
Дорогие покупатели, мы рады сообщить Вам, что теперь вы можете <a href=""/mebel_i_interer_iz_yaponii/komody_tansu/"" title=""купить японский комод тансу""><b>купить японские тансу</b> (<b>японский комод</b>)</a> и <a href=""/mebel_i_interer_iz_yaponii/hibachi_keramika_bronza_derevo/"" title=""купить хибачи""><b>хибачи</b></a> со скидкой 40%!
<br>
<br>
Ждем Вас за выгодными покупками!";html;"
Дорогие покупатели, мы рады сообщить Вам, что теперь вы можете <a href=""/mebel_i_interer_iz_yaponii/komody_tansu/"" title=""купить японский комод тансу""><b>купить японские тансу</b> (<b>японский комод</b>)</a> и <a href=""/mebel_i_interer_iz_yaponii/hibachi_keramika_bronza_derevo/"" title=""купить хибачи""><b>хибачи</b></a> со скидкой 40%!
<br>
<br>
Ждем Вас за выгодными покупками!";html;n_98;imgs/file262.jpg;imgs/japan.jpg
"Дорогие друзья! ";Y;2014-02-04 14:08:46;" — В нашем салоне новое поступление текстиля: покрывала , подушки , пуфы , валики , шарфы и кресла! 
<br>
Спешите <b>купить настоящий индиский текстиль</b>!
<br>
<br>
Будем рады видеть Вас в наших салонах.";html;"В нашем салоне новое поступление текстиля: покрывала , подушки , пуфы , валики , шарфы и кресла! 
<br>
Спешите <b>купить настоящий индиский текстиль</b>!
<br>
<br>
Будем рады видеть Вас в наших салонах.";html;n_97;imgs/file261.jpg;imgs/textile.jpg
"31 января выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытую вечеринку «Дерево и золото» для дизайнеров и художников.
<br>
<br>
Предлагаем Вашему вниманию <a href="/2014/02/дизайнерская-вечеринка-дерево-и-золо/">фотоотчёт о мероприятии</a>";Y;2014-02-03 13:59:39;" — 31 января выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытую вечеринку «Дерево и золото» для дизайнеров и художников.
<br>
<br>
Предлагаем Вашему вниманию <a href=""/2014/02/дизайнерская-вечеринка-дерево-и-золо/"">фотоотчёт о мероприятии</a>";html;"31 января выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытую вечеринку «Дерево и золото» для дизайнеров и художников.
<br>
<br>
Предлагаем Вашему вниманию <a href=""/2014/02/дизайнерская-вечеринка-дерево-и-золо/"">фотоотчёт о мероприятии</a>";html;n_96;imgs/file260.jpg;imgs/1.jpg
"Уважаемые покупатели";Y;2014-01-24 23:06:44;" — Приглашаем Вас посетить наши шоу-румы. 
<br>
У нас Вы уже можете <b>купить мебель из массива</b> из Индии из новой коллекции!";html;"Приглашаем Вас посетить наши шоу-румы. 
<br>
У нас Вы уже можете <b>купить мебель из массива</b> из Индии из новой коллекции!";html;n_95;imgs/file259.jpg;imgs/krsna.jpg
"Уважаемые посетители нашей Галереи! ";Y;2014-01-11 13:18:13;" — На следующей неделе ожидается новое поступление из Индии. Вы можете ознакомиться с ней в разделе <a href=""/ozhidaemaya_mebel/novaya_kollektsiya_mebeli_iz_indii_zima/""><b>ожидаемая мебель</b></a>
<br>
Хотим напомнить Вам, о том, что <b>в пути</b> всю мебель можно приобрести с скидкой 15%";html;"На следующей неделе ожидается новое поступление из Индии. Вы можете ознакомиться с ней в разделе <a href=""/ozhidaemaya_mebel/novaya_kollektsiya_mebeli_iz_indii_zima/""><b>ожидаемая мебель</b></a>
<br>
Хотим напомнить Вам, о том, что <b>в пути</b> всю мебель можно приобрести с скидкой 15%";html;n_94;imgs/file257.jpg;imgs/ET-5683(RA00026557)_500.jpg
"6 декабря выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытый показ экспозиции выставки для дизайнеров и художников.
<br>
<br>
В закрытом показе были представлены как японские, так и индийские предметы и продемонстрированы искусства двух стран.
<br>
<br>
Предлагаем Вам <a href="http://vostok-art.ru/2013/12/%D1%81%D0%B0%D0%BC%D1%83%D1%80%D0%B0%D0%B8-47-%D1%80%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D1%8B%D0%B9-%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7-%D1%84%D0%BE%D1%82%D0%BE/">ознакомиться с фото отчётом о мероприятии.</a>";Y;2013-12-18 15:28:49;" — 6 декабря выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытый показ экспозиции выставки для дизайнеров и художников.
<br>
<br>
В закрытом показе были представлены как японские, так и индийские предметы и продемонстрированы искусства двух стран.
<br>
<br>
Предлагаем Вам <a href=""http://vostok-art.ru/2013/12/%D1%81%D0%B0%D0%BC%D1%83%D1%80%D0%B0%D0%B8-47-%D1%80%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D1%8B%D0%B9-%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7-%D1%84%D0%BE%D1%82%D0%BE/"">ознакомиться с фото отчётом о мероприятии.</a>";html;"6 декабря выставка «Самураи. 47 ронинов» совместно с галереей «Интерьеры Махараджей» провела закрытый показ экспозиции выставки для дизайнеров и художников.
<br>
<br>
В закрытом показе были представлены как японские, так и индийские предметы и продемонстрированы искусства двух стран.
<br>
<br>
Предлагаем Вам <a href=""http://vostok-art.ru/2013/12/%D1%81%D0%B0%D0%BC%D1%83%D1%80%D0%B0%D0%B8-47-%D1%80%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D1%8B%D0%B9-%D0%BF%D0%BE%D0%BA%D0%B0%D0%B7-%D1%84%D0%BE%D1%82%D0%BE/"">ознакомиться с фото отчётом о мероприятии.</a>";html;n_92;imgs/file250.jpg;imgs/_MG_13_th.jpg
"Уважаемые покупатели!";Y;2013-12-09 20:25:10;" — 
У нас есть очередная приятная новость! <b>С 10 декабря</b> Вы можете приобрести в нашей галерее <a href=""http://vostok-art.ru/mebel_iz_indii_katalog/stoly_pismennye/"">письменный стол со скидкой 50%</a>! Обращаем Ваше внимание, что акция проводится во всех салонах галереи ""Интерьеры Махараджей"" и продлится до 17 декабря. 

Ждём Вас за удачными покупками.";html;"
У нас есть очередная приятная новость! <b>С 10 декабря</b> Вы можете приобрести в нашей галерее <a href=""http://vostok-art.ru/mebel_iz_indii_katalog/stoly_pismennye/"">письменный стол со скидкой 50%</a>! Обращаем Ваше внимание, что акция проводится во всех салонах галереи ""Интерьеры Махараджей"" и продлится до 17 декабря. 

Ждём Вас за удачными покупками.";html;n_91;imgs/file249.jpg;imgs/PQ 081_500.jpg
"Дорогие Гости нашей галереи!";Y;2013-11-30 14:26:35;" — 
Мы рады сообщить о том, что теперь <a href=""http://vostok-art.ru/mebel_i_interer_iz_tailanda/taiskie_keramicheskie_vazy/"">купить тайские вазы</a> Вы можете со скидкой! Обращаем Ваше внимание, что акция проводится во всех салонах галереи ""Интерьеры Махараджей"" и продлится с 30 ноября до 7 декабря. 

Успейте сделать чудесный подарок себе и своим близким!";html;"
Мы рады сообщить о том, что теперь <a href=""http://vostok-art.ru/mebel_i_interer_iz_tailanda/taiskie_keramicheskie_vazy/"">купить тайские вазы</a> Вы можете со скидкой! Обращаем Ваше внимание, что акция проводится во всех салонах галереи ""Интерьеры Махараджей"" и продлится с 30 ноября до 7 декабря. 

Успейте сделать чудесный подарок себе и своим близким!";html;n_89;imgs/file247.jpg;imgs/sale_thai.jpg
